Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.9591836734693877,8,0.5999999999999999,0.9014084507042254
0,line,0.9591836734693877,11,0.5999999999999999,0.9014084507042254
0,branch,0.9591836734693877,13,0.5714285714285714,0.9014084507042254
0,ga_multi,0.9591836734693877,10,0.657142857142857,0.9014084507042254
0,majority ensemble,0.9591836734693877,5,0.75,0.9098591549295775
0,union ensemble,0.9591836734693877,6,0.8,0.8591549295774648
0,intersection ensemble,0.9591836734693877,5,0.6956521739130435,0.9352112676056338
1,function,0.9591836734693877,8,0.5999999999999999,0.9014084507042254
1,line,0.9591836734693877,11,0.5999999999999999,0.9014084507042254
1,branch,0.9591836734693877,13,0.5714285714285714,0.9014084507042254
1,ga_multi,0.9591836734693877,10,0.657142857142857,0.9014084507042254
1,majority ensemble,0.9591836734693877,5,0.75,0.9098591549295775
1,union ensemble,0.9591836734693877,6,0.8,0.8591549295774648
1,intersection ensemble,0.9591836734693877,5,0.6956521739130435,0.9352112676056338
2,function,0.9591836734693877,8,0.5999999999999999,0.9014084507042254
2,line,0.9591836734693877,11,0.5999999999999999,0.9014084507042254
2,branch,0.9591836734693877,13,0.5714285714285714,0.9014084507042254
2,ga_multi,0.9591836734693877,10,0.657142857142857,0.9014084507042254
2,majority ensemble,0.9591836734693877,5,0.75,0.9098591549295775
2,union ensemble,0.9591836734693877,6,0.8,0.8591549295774648
2,intersection ensemble,0.9591836734693877,5,0.6956521739130435,0.9352112676056338
3,function,0.9591836734693877,8,0.5999999999999999,0.9014084507042254
3,line,0.9591836734693877,11,0.5999999999999999,0.9014084507042254
3,branch,0.9591836734693877,13,0.5714285714285714,0.9014084507042254
3,ga_multi,0.9591836734693877,10,0.657142857142857,0.9014084507042254
3,majority ensemble,0.9591836734693877,5,0.75,0.9098591549295775
3,union ensemble,0.9591836734693877,6,0.8,0.8591549295774648
3,intersection ensemble,0.9591836734693877,5,0.6956521739130435,0.9352112676056338
4,function,0.9591836734693877,8,0.5999999999999999,0.9014084507042254
4,line,0.9591836734693877,11,0.5999999999999999,0.9014084507042254
4,branch,0.9591836734693877,13,0.5714285714285714,0.9014084507042254
4,ga_multi,0.9591836734693877,10,0.657142857142857,0.9014084507042254
4,majority ensemble,0.9591836734693877,5,0.75,0.9098591549295775
4,union ensemble,0.9591836734693877,6,0.8,0.8591549295774648
4,intersection ensemble,0.9591836734693877,5,0.6956521739130435,0.9352112676056338
5,function,0.9591836734693877,8,0.5999999999999999,0.9014084507042254
5,line,0.9591836734693877,11,0.5999999999999999,0.9014084507042254
5,branch,0.9591836734693877,13,0.5714285714285714,0.9014084507042254
5,ga_multi,0.9591836734693877,10,0.657142857142857,0.9014084507042254
5,majority ensemble,0.9591836734693877,5,0.75,0.9098591549295775
5,union ensemble,0.9591836734693877,6,0.8,0.8591549295774648
5,intersection ensemble,0.9591836734693877,5,0.6956521739130435,0.9352112676056338
6,function,0.9591836734693877,8,0.5999999999999999,0.9014084507042254
6,line,0.9591836734693877,11,0.5999999999999999,0.9014084507042254
6,branch,0.9591836734693877,13,0.5714285714285714,0.9014084507042254
6,ga_multi,0.9591836734693877,10,0.657142857142857,0.9014084507042254
6,majority ensemble,0.9591836734693877,5,0.75,0.9098591549295775
6,union ensemble,0.9591836734693877,6,0.8,0.8591549295774648
6,intersection ensemble,0.9591836734693877,5,0.6956521739130435,0.9352112676056338
7,function,0.9591836734693877,8,0.5999999999999999,0.9014084507042254
7,line,0.9591836734693877,11,0.5999999999999999,0.9014084507042254
7,branch,0.9591836734693877,13,0.5714285714285714,0.9014084507042254
7,ga_multi,0.9591836734693877,10,0.657142857142857,0.9014084507042254
7,majority ensemble,0.9591836734693877,5,0.75,0.9098591549295775
