Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.7037037037037037,1,0.59375,0.7511520737327189
0,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
0,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
0,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
0,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
0,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
0,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
1,function,0.7037037037037037,1,0.59375,0.7511520737327189
1,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
1,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
1,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
1,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
1,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
1,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
2,function,0.7037037037037037,1,0.59375,0.7511520737327189
2,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
2,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
2,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
2,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
2,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
2,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
3,function,0.7037037037037037,1,0.59375,0.7511520737327189
3,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
3,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
3,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
3,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
3,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
3,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
4,function,0.7037037037037037,1,0.59375,0.7511520737327189
4,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
4,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
4,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
4,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
4,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
4,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
5,function,0.7037037037037037,1,0.59375,0.7511520737327189
5,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
5,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
5,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
5,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
5,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
5,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
6,function,0.7037037037037037,1,0.59375,0.7511520737327189
6,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
6,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
6,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
6,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
6,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
6,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
7,function,0.7037037037037037,1,0.59375,0.7511520737327189
7,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
7,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
7,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
7,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
7,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
7,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
8,function,0.7037037037037037,1,0.59375,0.7511520737327189
8,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
8,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
8,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
8,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
8,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
8,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
9,function,0.7037037037037037,1,0.59375,0.7511520737327189
9,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
9,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
9,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
9,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
9,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
9,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
10,function,0.7037037037037037,1,0.59375,0.7511520737327189
10,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
10,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
10,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
10,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
10,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
10,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
11,function,0.7037037037037037,1,0.59375,0.7511520737327189
11,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
11,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
11,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
11,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
11,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
11,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
12,function,0.7037037037037037,1,0.59375,0.7511520737327189
12,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
12,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
12,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
12,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
12,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
12,intersection ensemble,0.7222222222222222,4,0.5162601626016261,0.8110599078341014
13,function,0.7037037037037037,1,0.59375,0.7511520737327189
13,line,0.6296296296296297,1,0.5333333333333334,0.7511520737327189
13,branch,0.6666666666666666,1,0.5637860082304527,0.7511520737327189
13,ga_multi,0.6111111111111112,1,0.4898589065255731,0.7511520737327189
13,majority ensemble,0.6666666666666666,4,0.5077777777777778,0.7695852534562212
13,union ensemble,0.6111111111111112,1,0.8162757640369581,0.6912442396313364
