Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.7083333333333334,1,0.6481481481481481,0.7545454545454545
0,line,0.625,1,0.5987654320987654,0.7545454545454545
0,branch,0.5416666666666666,1,0.547138047138047,0.7545454545454545
0,ga_multi,0.5833333333333334,1,0.5925925925925926,0.7545454545454545
0,majority ensemble,0.5833333333333334,1,0.7423076923076923,0.7636363636363637
0,union ensemble,0.5416666666666666,1,0.7997835497835497,0.6181818181818182
0,intersection ensemble,0.7916666666666666,3,0.4636363636363637,0.9
1,function,0.7083333333333334,1,0.6534391534391534,0.7545454545454545
1,line,0.625,1,0.5987654320987654,0.7545454545454545
1,branch,0.5416666666666666,1,0.547138047138047,0.7545454545454545
1,ga_multi,0.5833333333333334,1,0.5925925925925926,0.7545454545454545
1,majority ensemble,0.5833333333333334,1,0.7423076923076923,0.7636363636363637
1,union ensemble,0.5416666666666666,1,0.7997835497835497,0.6181818181818182
1,intersection ensemble,0.7916666666666666,3,0.4636363636363637,0.9
2,function,0.7083333333333334,1,0.6534391534391534,0.7545454545454545
2,line,0.625,1,0.5987654320987654,0.7545454545454545
2,branch,0.5416666666666666,1,0.547138047138047,0.7545454545454545
2,ga_multi,0.5833333333333334,1,0.5925925925925926,0.7545454545454545
2,majority ensemble,0.5833333333333334,1,0.7423076923076923,0.7636363636363637
2,union ensemble,0.5416666666666666,1,0.7997835497835497,0.6181818181818182
2,intersection ensemble,0.7916666666666666,3,0.4636363636363637,0.9
3,function,0.7083333333333334,1,0.6481481481481481,0.7545454545454545
3,line,0.625,1,0.5987654320987654,0.7545454545454545
3,branch,0.5416666666666666,1,0.547138047138047,0.7545454545454545
3,ga_multi,0.5833333333333334,1,0.5925925925925926,0.7545454545454545
3,majority ensemble,0.5833333333333334,1,0.7423076923076923,0.7636363636363637
3,union ensemble,0.5416666666666666,1,0.7997835497835497,0.6181818181818182
3,intersection ensemble,0.7916666666666666,3,0.4636363636363637,0.9
4,function,0.7083333333333334,1,0.6481481481481481,0.7545454545454545
4,line,0.625,1,0.5987654320987654,0.7545454545454545
4,branch,0.5416666666666666,1,0.547138047138047,0.7545454545454545
4,ga_multi,0.5833333333333334,1,0.5925925925925926,0.7545454545454545
4,majority ensemble,0.5833333333333334,1,0.7423076923076923,0.7636363636363637
4,union ensemble,0.5416666666666666,1,0.7997835497835497,0.6181818181818182
4,intersection ensemble,0.7916666666666666,3,0.4636363636363637,0.9
5,function,0.7083333333333334,1,0.6534391534391534,0.7545454545454545
5,line,0.625,1,0.5987654320987654,0.7545454545454545
5,branch,0.5416666666666666,1,0.547138047138047,0.7545454545454545
5,ga_multi,0.5833333333333334,1,0.5925925925925926,0.7545454545454545
5,majority ensemble,0.5833333333333334,1,0.7423076923076923,0.7636363636363637
5,union ensemble,0.5416666666666666,1,0.7997835497835497,0.6181818181818182
5,intersection ensemble,0.7916666666666666,3,0.4636363636363637,0.9
6,function,0.7083333333333334,1,0.6534391534391534,0.7545454545454545
6,line,0.625,1,0.5987654320987654,0.7545454545454545
