Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.7333333333333333,17,0.6614583333333334,0.75
0,line,0.7333333333333333,10,0.6171875000000001,0.75
0,branch,0.7333333333333333,11,0.5703125000000001,0.75
0,ga_multi,0.7333333333333333,16,0.6484375000000001,0.75
0,majority ensemble,0.7333333333333333,1,0.9807692307692307,0.796875
0,union ensemble,0.7333333333333333,1,0.9903225806451612,0.5963541666666666
0,intersection ensemble,0.7333333333333333,1,0.9666666666666667,0.8828125
1,function,0.7333333333333333,17,0.6614583333333334,0.75
1,line,0.7333333333333333,10,0.6171875000000001,0.75
1,branch,0.7333333333333333,11,0.5703125000000001,0.75
1,ga_multi,0.7333333333333333,16,0.6484375000000001,0.75
1,majority ensemble,0.7333333333333333,1,0.9805194805194805,0.7994791666666666
1,union ensemble,0.7333333333333333,1,0.9904458598726115,0.5911458333333334
1,intersection ensemble,0.7333333333333333,1,0.9659090909090909,0.8854166666666666
2,function,0.7333333333333333,17,0.6614583333333334,0.75
2,line,0.7333333333333333,10,0.6171875000000001,0.75
2,branch,0.7333333333333333,11,0.5703125000000001,0.75
2,ga_multi,0.7333333333333333,16,0.6484375000000001,0.75
2,majority ensemble,0.7333333333333333,1,0.9810126582278481,0.7942708333333334
2,union ensemble,0.7333333333333333,1,0.9902597402597403,0.5989583333333334
2,intersection ensemble,0.7333333333333333,1,0.9666666666666667,0.8828125
3,function,0.7333333333333333,17,0.6614583333333334,0.75
3,line,0.7333333333333333,10,0.6171875000000001,0.75
3,branch,0.7333333333333333,11,0.5703125000000001,0.75
3,ga_multi,0.7333333333333333,16,0.6484375000000001,0.75
3,majority ensemble,0.7333333333333333,1,0.9810126582278481,0.7942708333333334
3,union ensemble,0.7333333333333333,1,0.990066225165563,0.6067708333333334
3,intersection ensemble,0.7333333333333333,1,0.9680851063829787,0.8776041666666666
4,function,0.7333333333333333,17,0.6614583333333334,0.75
4,line,0.7333333333333333,10,0.6171875000000001,0.75
4,branch,0.7333333333333333,11,0.5703125000000001,0.75
4,ga_multi,0.7333333333333333,16,0.6484375000000001,0.75
4,majority ensemble,0.7333333333333333,1,0.98125,0.7916666666666666
4,union ensemble,0.7333333333333333,1,0.9903846153846154,0.59375
4,intersection ensemble,0.7333333333333333,1,0.9659090909090909,0.8854166666666666
5,function,0.7333333333333333,17,0.6614583333333334,0.75
5,line,0.7333333333333333,10,0.6171875000000001,0.75
5,branch,0.7333333333333333,11,0.5703125000000001,0.75
5,ga_multi,0.7333333333333333,16,0.6484375000000001,0.75
5,majority ensemble,0.7333333333333333,1,0.9805194805194805,0.7994791666666666
5,union ensemble,0.7333333333333333,1,0.9901960784313726,0.6015625
5,intersection ensemble,0.7333333333333333,1,0.96875,0.875
6,function,0.7333333333333333,17,0.6614583333333334,0.75
6,line,0.7333333333333333,10,0.6171875000000001,0.75
6,branch,0.7333333333333333,11,0.5703125000000001,0.75
6,ga_multi,0.7333333333333333,16,0.6484375000000001,0.75
6,majority ensemble,0.7333333333333333,1,0.9807692307692307,0.796875
6,union ensemble,0.7333333333333333,1,0.9903846153846154,0.59375
6,intersection ensemble,0.7333333333333333,1,0.9666666666666667,0.8828125
7,function,0.7333333333333333,17,0.6614583333333334,0.75
7,line,0.7333333333333333,10,0.6171875000000001,0.75
7,branch,0.7333333333333333,11,0.5703125000000001,0.75
7,ga_multi,0.7333333333333333,16,0.6484375000000001,0.75
7,majority ensemble,0.7333333333333333,1,0.9814814814814815,0.7890625
7,union ensemble,0.7333333333333333,1,0.9901315789473684,0.6041666666666666
7,intersection ensemble,0.7333333333333333,1,0.952127659574468,0.8776041666666666
8,function,0.7333333333333333,17,0.6614583333333334,0.75
8,line,0.7333333333333333,10,0.6171875000000001,0.75
8,branch,0.7333333333333333,11,0.5703125000000001,0.75
8,ga_multi,0.7333333333333333,16,0.6484375000000001,0.75
8,majority ensemble,0.7333333333333333,2,0.9662162162162162,0.8072916666666666
8,union ensemble,0.7333333333333333,1,0.9903846153846154,0.59375
8,intersection ensemble,0.7333333333333333,1,0.9666666666666667,0.8828125
9,function,0.7333333333333333,17,0.6614583333333334,0.75
9,line,0.7333333333333333,10,0.6171875000000001,0.75
9,branch,0.7333333333333333,11,0.5703125000000001,0.75
9,ga_multi,0.7333333333333333,16,0.6484375000000001,0.75
