Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.0,1,0.899099099099099,0.5
0,line,0.0,1,0.9603603603603603,0.5
0,branch,0.0,1,0.8495495495495495,0.5
0,ga_multi,0.0,1,0.8684684684684685,0.5
0,majority ensemble,0.0,3,0.7525562372188139,0.5594594594594594
0,union ensemble,0.0,5,0.7523809523809524,0.33783783783783783
0,intersection ensemble,0.0,1,0.7713178294573644,0.6513513513513514
1,function,0.0,1,0.8864864864864864,0.5
1,line,0.0,1,0.9603603603603603,0.5
1,branch,0.0,1,0.8495495495495495,0.5
1,ga_multi,0.0,1,0.8684684684684685,0.5
1,majority ensemble,0.0,4,0.748995983935743,0.5513513513513514
1,union ensemble,0.0,5,0.7524204702627939,0.34864864864864864
1,intersection ensemble,0.0,1,0.7722646310432569,0.6459459459459459
2,function,0.0,1,0.8864864864864864,0.5
2,line,0.0,1,0.9603603603603603,0.5
2,branch,0.0,1,0.8495495495495495,0.5
2,ga_multi,0.0,1,0.8684684684684685,0.5
2,majority ensemble,0.0,3,0.7530487804878049,0.5567567567567567
2,union ensemble,0.0,6,0.7503401360544217,0.33783783783783783
2,intersection ensemble,0.0,1,0.7708333333333334,0.654054054054054
3,function,0.0,1,0.8918918918918919,0.5
3,line,0.0,1,0.9603603603603603,0.5
3,branch,0.0,1,0.8495495495495495,0.5
3,ga_multi,0.0,1,0.8684684684684685,0.5
3,majority ensemble,0.0,3,0.7535787321063394,0.5594594594594594
3,union ensemble,0.0,5,0.7517146776406036,0.34324324324324323
3,intersection ensemble,0.0,1,0.7713178294573644,0.6513513513513514
4,function,0.0,1,0.8864864864864864,0.5
4,line,0.0,1,0.9603603603603603,0.5
4,branch,0.0,1,0.8495495495495495,0.5
4,ga_multi,0.0,1,0.8684684684684685,0.5
4,majority ensemble,0.0,3,0.7535353535353536,0.5540540540540541
4,union ensemble,0.0,6,0.7496570644718793,0.34324324324324323
4,intersection ensemble,0.0,1,0.7708333333333334,0.654054054054054
5,function,0.0,1,0.8936936936936937,0.5
5,line,0.0,1,0.9603603603603603,0.5
5,branch,0.0,1,0.8495495495495495,0.5
5,ga_multi,0.0,1,0.8684684684684685,0.5
5,majority ensemble,0.0,4,0.7484848484848485,0.5540540540540541
5,union ensemble,0.0,5,0.7534153005464481,0.34054054054054056
5,intersection ensemble,0.0,1,0.7713178294573644,0.6513513513513514
6,function,0.0,1,0.8891891891891892,0.5
6,line,0.0,1,0.9603603603603603,0.5
6,branch,0.0,1,0.8495495495495495,0.5
6,ga_multi,0.0,1,0.8684684684684685,0.5
6,majority ensemble,0.0,3,0.7530487804878049,0.5567567567567567
6,union ensemble,0.0,5,0.7520491803278688,0.34054054054054056
6,intersection ensemble,0.0,1,0.772609819121447,0.6513513513513514
7,function,0.0,1,0.890990990990991,0.5
7,line,0.0,1,0.9603603603603603,0.5
7,branch,0.0,1,0.8495495495495495,0.5
7,ga_multi,0.0,1,0.8684684684684685,0.5
7,majority ensemble,0.0,3,0.7530487804878049,0.5567567567567567
7,union ensemble,0.0,5,0.7530864197530864,0.34324324324324323
7,intersection ensemble,0.0,2,0.7653846153846153,0.6486486486486487
8,function,0.0,1,0.890990990990991,0.5
8,line,0.0,1,0.9603603603603603,0.5
8,branch,0.0,1,0.8495495495495495,0.5
8,ga_multi,0.0,1,0.8684684684684685,0.5
8,majority ensemble,0.0,3,0.7535787321063394,0.5594594594594594
8,union ensemble,0.0,6,0.7506775067750678,0.33513513513513515
8,intersection ensemble,0.0,1,0.7708333333333334,0.654054054054054
9,function,0.0,1,0.8900900900900901,0.5
9,line,0.0,1,0.9603603603603603,0.5
9,branch,0.0,1,0.8495495495495495,0.5
9,ga_multi,0.0,1,0.8684684684684685,0.5
9,majority ensemble,0.0,3,0.7520325203252033,0.5567567567567567
9,union ensemble,0.0,5,0.7520491803278688,0.34054054054054056
9,intersection ensemble,0.0,1,0.773076923076923,0.6486486486486487
10,function,0.0,1,0.899099099099099,0.5
10,line,0.0,1,0.9603603603603603,0.5
10,branch,0.0,1,0.8495495495495495,0.5
10,ga_multi,0.0,1,0.8684684684684685,0.5
10,majority ensemble,0.0,3,0.7530487804878049,0.5567567567567567
10,union ensemble,0.0,5,0.752710027100271,0.33513513513513515
10,intersection ensemble,0.0,1,0.7708333333333334,0.654054054054054
11,function,0.0,1,0.8927927927927928,0.5
11,line,0.0,1,0.9603603603603603,0.5
11,branch,0.0,1,0.8495495495495495,0.5
11,ga_multi,0.0,1,0.8684684684684685,0.5
11,majority ensemble,0.0,3,0.7530864197530864,0.5621621621621622
11,union ensemble,0.0,6,0.7503401360544217,0.33783783783783783
11,intersection ensemble,0.0,1,0.7717948717948717,0.6486486486486487
12,function,0.0,1,0.8918918918918919,0.5
12,line,0.0,1,0.9603603603603603,0.5
12,branch,0.0,1,0.8495495495495495,0.5
12,ga_multi,0.0,1,0.8684684684684685,0.5
12,majority ensemble,0.0,3,0.7530864197530864,0.5621621621621622
12,union ensemble,0.0,5,0.7520491803278688,0.34054054054054056
12,intersection ensemble,0.0,1,0.7713178294573644,0.6513513513513514
13,function,0.0,1,0.8954954954954955,0.5
13,line,0.0,1,0.9603603603603603,0.5
13,branch,0.0,1,0.8495495495495495,0.5
13,ga_multi,0.0,1,0.8684684684684685,0.5
13,majority ensemble,0.0,4,0.7484662576687117,0.5594594594594594
13,union ensemble,0.0,5,0.7530864197530864,0.34324324324324323
13,intersection ensemble,0.0,1,0.7717948717948717,0.6486486486486487
14,function,0.0,1,0.8945945945945946,0.5
14,line,0.0,1,0.9603603603603603,0.5
14,branch,0.0,1,0.8495495495495495,0.5
14,ga_multi,0.0,1,0.8684684684684685,0.5
14,majority ensemble,0.0,3,0.7530864197530864,0.5621621621621622
14,union ensemble,0.0,6,0.7506775067750678,0.33513513513513515
14,intersection ensemble,0.0,1,0.7708333333333334,0.654054054054054
