Run,Method,Fault Detection Loss,Pos of First Fault Detected,Average Percentage of Faults Detected,Test Suite Reduction
0,function,0.2857142857142857,1,0.539344262295082,0.5
0,line,0.19047619047619047,5,0.5636451301832208,0.5
0,branch,0.19047619047619047,7,0.5646094503375121,0.5
0,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
0,majority ensemble,0.19047619047619047,1,0.875,0.5081967213114754
0,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
0,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
1,function,0.2857142857142857,1,0.539344262295082,0.5
1,line,0.19047619047619047,5,0.5636451301832208,0.5
1,branch,0.19047619047619047,7,0.5646094503375121,0.5
1,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
1,majority ensemble,0.19047619047619047,1,0.8770491803278688,0.5
1,union ensemble,0.19047619047619047,1,0.8901143790849673,0.4098360655737705
1,intersection ensemble,0.2857142857142857,1,0.8631944444444444,0.6065573770491803
2,function,0.2857142857142857,1,0.539344262295082,0.5
2,line,0.19047619047619047,5,0.5636451301832208,0.5
2,branch,0.19047619047619047,7,0.5646094503375121,0.5
2,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
2,majority ensemble,0.19047619047619047,1,0.8728813559322034,0.5163934426229508
2,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
2,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
3,function,0.2857142857142857,1,0.539344262295082,0.5
3,line,0.19047619047619047,5,0.5636451301832208,0.5
3,branch,0.19047619047619047,7,0.5646094503375121,0.5
3,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
3,majority ensemble,0.19047619047619047,1,0.875,0.5081967213114754
3,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
3,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
4,function,0.2857142857142857,1,0.539344262295082,0.5
4,line,0.19047619047619047,5,0.5636451301832208,0.5
4,branch,0.19047619047619047,7,0.5646094503375121,0.5
4,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
4,majority ensemble,0.19047619047619047,1,0.8770491803278688,0.5
4,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
4,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
5,function,0.2857142857142857,1,0.539344262295082,0.5
5,line,0.19047619047619047,5,0.5636451301832208,0.5
5,branch,0.19047619047619047,7,0.5646094503375121,0.5
5,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
5,majority ensemble,0.19047619047619047,1,0.8770491803278688,0.5
5,union ensemble,0.19047619047619047,1,0.8901143790849673,0.4098360655737705
5,intersection ensemble,0.2857142857142857,1,0.8631944444444444,0.6065573770491803
6,function,0.2857142857142857,1,0.539344262295082,0.5
6,line,0.19047619047619047,5,0.5636451301832208,0.5
6,branch,0.19047619047619047,7,0.5646094503375121,0.5
6,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
6,majority ensemble,0.19047619047619047,1,0.8770491803278688,0.5
6,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
6,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
7,function,0.2857142857142857,1,0.539344262295082,0.5
7,line,0.19047619047619047,5,0.5636451301832208,0.5
7,branch,0.19047619047619047,7,0.5646094503375121,0.5
7,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
7,majority ensemble,0.19047619047619047,1,0.875,0.5081967213114754
7,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
7,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
8,function,0.2857142857142857,1,0.539344262295082,0.5
8,line,0.19047619047619047,5,0.5636451301832208,0.5
8,branch,0.19047619047619047,7,0.5646094503375121,0.5
8,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
8,majority ensemble,0.19047619047619047,1,0.875,0.5081967213114754
8,union ensemble,0.19047619047619047,1,0.8901143790849673,0.4098360655737705
8,intersection ensemble,0.2857142857142857,1,0.8631944444444444,0.6065573770491803
9,function,0.2857142857142857,1,0.539344262295082,0.5
9,line,0.19047619047619047,5,0.5636451301832208,0.5
9,branch,0.19047619047619047,7,0.5646094503375121,0.5
9,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
9,majority ensemble,0.19047619047619047,1,0.8728813559322034,0.5163934426229508
9,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
9,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
10,function,0.2857142857142857,1,0.539344262295082,0.5
10,line,0.19047619047619047,5,0.5636451301832208,0.5
10,branch,0.19047619047619047,7,0.5646094503375121,0.5
10,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
10,majority ensemble,0.19047619047619047,1,0.875,0.5081967213114754
10,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
10,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
11,function,0.2857142857142857,1,0.539344262295082,0.5
11,line,0.19047619047619047,5,0.5636451301832208,0.5
11,branch,0.19047619047619047,7,0.5646094503375121,0.5
11,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
11,majority ensemble,0.19047619047619047,1,0.875,0.5081967213114754
11,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
11,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
12,function,0.2857142857142857,1,0.539344262295082,0.5
12,line,0.19047619047619047,5,0.5636451301832208,0.5
12,branch,0.19047619047619047,7,0.5646094503375121,0.5
12,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
12,majority ensemble,0.19047619047619047,1,0.8770491803278688,0.5
12,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
12,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
13,function,0.2857142857142857,1,0.539344262295082,0.5
13,line,0.19047619047619047,5,0.5636451301832208,0.5
13,branch,0.19047619047619047,7,0.5646094503375121,0.5
13,ga_multi,0.19047619047619047,5,0.5414657666345227,0.5
13,majority ensemble,0.19047619047619047,1,0.875,0.5081967213114754
13,union ensemble,0.19047619047619047,1,0.8916196615632555,0.4016393442622951
13,intersection ensemble,0.2857142857142857,1,0.8602836879432624,0.6147540983606558
14,function,0.2857142857142857,1,0.539344262295082,0.5
14,line,0.19047619047619047,5,0.5636451301832208,0.5
14,branch,0.19047619047619047,7,0.5646094503375121,0.5
